3,83,0.000241021,0.53,ch to bs,,,,
12,33,0.007799752,0.23,ch to bs,,,,
20,47,8.92E-06,0.25,cch recive each,cch recive each,cch recive each,cch recive each,
24,48,2.94E-06,0.46,cch recive each,cch recive each,cch recive each,cch recive each,cch recive each
27,48,0.006632858,0.25,ch to bs,,,,
29,56,8.93E-05,0.22,data cm to ch,,,,
29,53,0.00236795,0.23,ch to bs,,,,
31,52,0.0085808,0.17,ch to bs,,,,
32,50,0.000700619,0.21,ch to bs,,,,
33,57,0.000101192,0.29,data cm to ch,,,,
34,40,0.001919534,0.2,ch to bs,,,,
34,50,0.102262989,0.1,ch send optimize,,,,
35,44,6.17E-05,0.31,data cm to ch,,,,
35,66,0.00366,0.18,ch recive out of energy ,,,,
37,63,0.004543708,0.21,ch to bs,,,,
37,45,0.006891313,0.43,ch to bs,,,,
37,47,0.007885586,0.25,ch to bs,,,,
42,73,0.003063295,0.56,merge pkt ,,,,
42,55,0.004670352,0.49,merge pkt ,,,,
42,46,9.63E-06,0.87,cch anno,,,,
71,49,0.005868741,0.31,ch to bs,,,,
90,94,0.00592904,0.19,ch to bs,,,,
92,89,0.006398788,0.33,ch to bs,,,,
92,3,0.005673652,0.4,ch to bs,,,,
92,52,0.002931791,0.6,ch to bs,,,,
93,61,0.002977668,0.3,ch to bs,,,,
95,11,0.000192041,0.39,ch to bs,,,,
95,3,0.235890568,0.13,ch send optimize,,,,
95,98,0.002657698,0.15,merge pkt ,,,,
95,41,0.007194683,0.18,ch to bs,,,,
95,15,0.002042481,0.11,ch to bs,,,,
96,1,0.287359615,0,ch send optimize,,,,
96,100,0.172930365,0.11,ch send optimize,,,,
96,5,0.005458147,0.09,ch to bs,,,,
97,95,0.007895463,0.46,ch to bs,,,,
97,0,0.00495018,0.11,ch to bs,,,,
98,100,0.003996602,0.43,merge pkt ,,,,
98,59,0.002173313,0.32,merge pkt ,,,,
98,19,0.132207472,0.22,ch send optimize,,,,
98,86,0.002249765,0.22,merge pkt ,,,,
99,7,0.008796479,0.3,ch to bs,,,,
99,45,8.27E-05,0.22,ch to bs,,,,
100,50,9.64E-06,0.21,cch recive each,,,,
100,3,0.005432782,0.74,merge pkt ,,,,
100,99,0.00706817,0.47,ch to bs,,,,
100,17,0.000547207,0.48,ch recive out of energy ,,,,
100,42,0.003151234,0.47,merge pkt ,,,,
100,92,0.007430492,0.36,ch to bs,,,,
100,9,0.001757628,0.55,merge pkt ,,,,
100,3,0.001832436,0.39,ch to bs,,,,
