91,88,0.005736383,0.44,1074,ch to bs,,,,,
12,40,0.003191117,0.77,1323,cm send optimize,,,,,
91,1,0.003579981,0.38,1162,ch to bs,,,,,
34,46,0.001321799,0.44,1243,merge pkt ,,,,,
42,53,0.000390209,0.55,1175,merge pkt ,,,,,
96,16,0.006575132,0.26,1244,ch to bs,,,,,
99,14,0.004624742,0.34,1326,ch to bs,,,,,
45,40,0.000100394,0.81,1384,data cm to ch,,,,,
43,79,0.002842341,0.6,1335,cm send optimize,,,,,
33,40,0.000202856,0.39,1153,merge pkt ,,,,,
37,59,9.74E-05,0.5,1204,data cm to ch,,,,,
94,1,0.007730452,0.36,1291,ch to bs,,,,,
95,45,0.001345942,0.39,1460,ch to bs,,,,,
44,54,8.99E-06,0.45,1252,cch recive each,cch recive each,cch recive each,cch recive each,cch recive each,
41,46,0.000104136,0.65,1262,ch to bs,,,,,
21,46,2.89E-06,0.36,1429,cch recive each,cch recive each,cch recive each,cch recive each,cch recive each,
47,73,0.002493588,0.43,1373,ch recive out of energy ,,,,,
100,0,0.00526747,0.16,1283,ch to bs,,,,,
97,33,0.00290811,0.33,1336,ch to bs,,,,,
100,16,0.006838172,0.22,1103,ch to bs,,,,,
61,61,0.237847223,0.1,1241,cm send optimize,,,,,
96,77,0.005365794,0.16,1354,ch to bs,,,,,
48,56,9.24E-05,0.26,1370,data cm to ch,,,,,
97,40,0.00676528,0.21,1295,ch to bs,,,,,
97,96,0.003132092,0.25,1281,ch to bs,,,,,
43,35,0.004295817,0.7,1257,merge pkt ,,,,,
95,99,0.00900642,0.35,1308,ch to bs,,,,,
40,52,4.07E-06,0.37,1299,cch recive each,cch recive each,cch recive each,cch recive each,cch recive each,cch recive each
38,43,6.68E-06,0.97,1234,cch recive each,cch recive each,cch recive each,cch recive each,cch recive each,cch recive each
95,22,0.021116396,0.27,1121,cm send optimize,,,,,
11,53,0.003573783,0.47,1222,merge pkt ,,,,,
42,47,0.003138841,0.51,1327,merge pkt ,,,,,
35,46,0.003056473,0.22,1459,merge pkt ,,,,,
99,56,0.001251928,0.28,1247,ch to bs,,,,,
72,57,0.000148969,0.56,1355,data cm to ch,,,,,
90,98,0.007080903,0.37,1290,ch to bs,,,,,
31,50,9.50E-06,0.67,1274,data cm to ch,,,,,
94,7,0.007576739,0.41,1175,ch to bs,,,,,
99,7,0.000245828,0.28,1358,data cm to ch,,,,,
99,33,8.00E-06,0.36,1157,cch recive each,cch recive each,,,,
47,82,6.68E-06,0.24,1429,data cm to ch,,,,,
40,35,0.081530283,0.12,1347,cm send optimize,,,,,
44,59,0.03901951,0.21,1358,cm send optimize,,,,,
34,41,0.002170848,0.3,1220,cm send optimize,,,,,
34,53,8.52E-06,0.98,1201,cch recive each,cch recive each,cch recive each,,,
32,35,0.001140097,0.51,1213,cm send optimize,,,,,
95,13,0.007798904,0.37,1286,ch to bs,,,,,
98,98,0.00706244,0.41,1285,ch to bs,,,,,
33,31,0.002082927,0.74,1275,merge pkt ,,,,,
99,85,0.004526782,0.26,1063,ch to bs,,,,,
