86.0,96.0,9.272501165927076e-05,0.1,data cm to ch
97.0,73.0,0.005308733523672377,0.1,ch to bs
91.0,72.0,0.002572450227698902,0.1,ch to bs
100.0,75.0,0.00015306982767011558,0.1,data cm to ch
71.0,97.0,0.008402254683330158,0.1,ch to bs
65.0,100.0,0.0036915846833351232,0.1,ch to bs
93.0,98.0,0.016091475590338397,0.1,ch to bs
97.0,74.0,0.009291498227681402,0.1,ch to bs
97.0,85.0,0.011000735725998915,0.1,ch to bs
75.0,98.0,0.005595358771675816,0.1,ch to bs
99.0,66.0,0.0016801677770053522,0.1,ch to bs
91.0,79.0,0.007939429930334623,0.1,ch to bs
72.0,96.0,0.007515150521347095,0.1,ch to bs
92.0,97.0,7.85950633237511e-05,0.1,data cm to ch
93.0,91.0,0.013626414946666731,0.1,ch to bs
70.0,90.0,0.00804969190870246,0.1,ch to bs
99.0,97.0,0.00010499238465990792,0.1,data cm to ch
63.0,100.0,0.0001713339803345608,0.1,data cm to ch
85.0,94.0,0.00019951559799941292,0.1,data cm to ch
97.0,100.0,0.012228763303302467,0.1,ch to bs
96.0,99.0,0.016551699451994164,0.1,ch to bs
64.0,97.0,0.00623788841501683,0.1,ch to bs
97.0,100.0,0.014854647686325644,0.1,ch to bs
69.0,98.0,0.009550433589668174,0.1,ch to bs
91.0,88.0,0.00019102774667731644,0.1,data cm to ch
70.0,99.0,0.006068507966011869,0.1,ch to bs
95.0,93.0,0.014597053629002252,0.1,ch to bs
87.0,84.0,0.00014286844035227457,0.1,data cm to ch
98.0,74.0,0.0054109879086684165,0.1,ch to bs
98.0,85.0,0.01160969659467138,0.1,ch to bs
100.0,88.0,0.00020265048943571423,0.1,4.729999999999944,data cm to ch
95.0,75.0,0.008459639827687293,0.1,0.9390000000000007,ch to bs
70.0,91.0,0.007948907154702691,0.1,1013.0,ch to bs
89.0,71.0,0.006383063632011945,0.1,964.0,ch to bs
96.0,77.0,0.008404591934006275,0.1,968.0,ch to bs
67.0,96.0,0.005065558389673101,0.1,934.0,ch to bs
89.0,87.0,0.010435864121333929,0.1,1001.0,ch to bs
81.0,93.0,0.004414983695985713,0.1,967.0,ch to bs
86.0,93.0,0.004060850440339067,0.1,1028.0,ch to bs
66.0,99.0,0.0030328064019848446,0.1,1042.0,ch to bs
82.0,93.0,0.011185628265327178,0.1,1083.0,ch to bs
90.0,74.0,0.008431460857357239,0.1,1021.0,ch to bs
81.0,100.0,0.007897666462979047,0.1,1053.0,ch to bs
97.0,91.0,0.00012942206566346403,0.1,966.0,data cm to ch
81.0,100.0,0.007552697949002051,0.1,943.0,ch to bs
96.0,90.0,0.005870266131653015,0.1,940.0,ch to bs
88.0,89.0,0.007443194227660797,0.1,962.0,ch to bs
88.0,100.0,0.012159550423331462,0.1,967.0,ch to bs
98.0,63.0,0.00015107888667084077,0.1,1029.0,data cm to ch
94.0,99.0,0.009207710833661299,0.1,986.0,ch to bs
94.0,95.0,0.010727571548989272,0.1,983.0,ch to bs
98.0,75.0,0.008284732874326474,0.1,1047.0,ch to bs
97.0,96.0,0.007955493584670143,0.1,883.0,ch to bs
62.0,95.0,7.468324901607789e-05,0.1,1074.0,data cm to ch
79.0,94.0,0.007959539167003203,0.1,1001.0,ch to bs
91.0,93.0,0.011645939453003863,0.1,1005.0,ch to bs
91.0,80.0,0.010143823486016173,0.1,985.0,ch to bs
95.0,83.0,0.011942641491675293,0.1,1034.0,ch to bs
90.0,83.0,0.00010080519801094147,0.1,912.0,data cm to ch
92.0,94.0,0.00018656635933161477,0.1,990.0,data cm to ch
100.0,95.0,0.013726935665650756,0.1,981.0,ch to bs
58.0,85.0,0.00024889065435313687,0.1,965.0,data cm to ch
85.0,91.0,0.0023233360799871003,0.1,1039.0,ch to bs
99.0,97.0,0.01790254307832416,0.1,984.0,ch to bs
94.0,92.0,0.012759178440327073,0.1,985.0,ch to bs
77.0,99.0,0.0077496789466777235,0.1,1009.0,ch to bs
