data:4608 gap:2% ****
at1, 616, 13.37 %
at2, 698, 15.15 %
at3, 1267, 27.50 %
at4, 936, 20.31 %
at5, 709, 15.39 %
at6, 653, 14.17 %
at7, 1010, 21.92 %
at8, 696, 15.10 %
at9, 846, 18.36 %
at10, 740, 16.06 %
at11, 855, 18.55 %
at12, 787, 17.08 %
at13, 847, 18.38 %
at14, 592, 12.85 %
at15, 743, 16.12 %
at16, 518, 11.24 %
at17, 1441, 31.27 %
at18, 860, 18.66 %
at19, 1109, 24.07 %
data:2304 gap:2% ****
at1, 316, 13.72 %
at2, 339, 14.71 %
at3, 589, 25.56 %
at4, 477, 20.70 %
at5, 358, 15.54 %
at6, 320, 13.89 %
at7, 485, 21.05 %
at8, 335, 14.54 %
at9, 452, 19.62 %
at10, 396, 17.19 %
at11, 433, 18.79 %
at12, 391, 16.97 %
at13, 437, 18.97 %
at14, 286, 12.41 %
at15, 352, 15.28 %
at16, 254, 11.02 %
at17, 711, 30.86 %
at18, 417, 18.10 %
at19, 541, 23.48 %
data:1152 gap:2% ****
at1, 220, 19.10 %
at2, 236, 20.49 %
at3, 346, 30.03 %
at4, 303, 26.30 %
at5, 256, 22.22 %
at6, 215, 18.66 %
at7, 317, 27.52 %
at8, 222, 19.27 %
at9, 290, 25.17 %
at10, 260, 22.57 %
at11, 278, 24.13 %
at12, 269, 23.35 %
at13, 251, 21.79 %
at14, 186, 16.15 %
at15, 245, 21.27 %
at16, 183, 15.89 %
at17, 444, 38.54 %
at18, 268, 23.26 %
at19, 351, 30.47 %
-------------------------------------- 
data:4608 gap:4% ****
at1, 178, 3.86 %
at2, 155, 3.36 %
at3, 496, 10.76 %
at4, 298, 6.47 %
at5, 150, 3.26 %
at6, 150, 3.26 %
at7, 267, 5.79 %
at8, 186, 4.04 %
at9, 234, 5.08 %
at10, 176, 3.82 %
at11, 202, 4.38 %
at12, 186, 4.04 %
at13, 226, 4.90 %
at14, 169, 3.67 %
at15, 245, 5.32 %
at16, 60, 1.30 %
at17, 534, 11.59 %
at18, 201, 4.36 %
at19, 455, 9.87 %
data:2304 gap:4% ****
at1, 95, 4.12 %
at2, 68, 2.95 %
at3, 191, 8.29 %
at4, 152, 6.60 %
at5, 71, 3.08 %
at6, 61, 2.65 %
at7, 112, 4.86 %
at8, 66, 2.86 %
at9, 117, 5.08 %
at10, 97, 4.21 %
at11, 98, 4.25 %
at12, 97, 4.21 %
at13, 99, 4.30 %
at14, 76, 3.30 %
at15, 118, 5.12 %
at16, 22, 0.95 %
at17, 214, 9.29 %
at18, 89, 3.86 %
at19, 205, 8.90 %
data:1152 gap:4% ****
at1, 75, 6.51 %
at2, 51, 4.43 %
at3, 111, 9.64 %
at4, 112, 9.72 %
at5, 53, 4.60 %
at6, 46, 3.99 %
at7, 82, 7.12 %
at8, 46, 3.99 %
at9, 79, 6.86 %
at10, 66, 5.73 %
at11, 72, 6.25 %
at12, 75, 6.51 %
at13, 52, 4.51 %
at14, 59, 5.12 %
at15, 91, 7.90 %
at16, 13, 1.13 %
at17, 137, 11.89 %
at18, 66, 5.73 %
at19, 144, 12.50 %
-------------------------------------- 
data:4608 gap:6% ****
at1, 81, 1.76 %
at2, 24, 0.52 %
at3, 234, 5.08 %
at4, 98, 2.13 %
at5, 32, 0.69 %
at6, 39, 0.85 %
at7, 85, 1.84 %
at8, 64, 1.39 %
at9, 75, 1.63 %
at10, 81, 1.76 %
at11, 60, 1.30 %
at12, 52, 1.13 %
at13, 61, 1.32 %
at14, 59, 1.28 %
at15, 98, 2.13 %
at16, 12, 0.26 %
at17, 235, 5.10 %
at18, 60, 1.30 %
at19, 239, 5.19 %
data:2304 gap:6% ****
at1, 49, 2.13 %
at2, 7, 0.30 %
at3, 81, 3.52 %
at4, 54, 2.34 %
at5, 7, 0.30 %
at6, 16, 0.69 %
at7, 33, 1.43 %
at8, 16, 0.69 %
at9, 33, 1.43 %
at10, 40, 1.74 %
at11, 33, 1.43 %
at12, 29, 1.26 %
at13, 15, 0.65 %
at14, 28, 1.22 %
at15, 51, 2.21 %
at16, 4, 0.17 %
at17, 74, 3.21 %
at18, 25, 1.09 %
at19, 103, 4.47 %
data:1152 gap:6% ****
at1, 42, 3.65 %
at2, 6, 0.52 %
at3, 47, 4.08 %
at4, 44, 3.82 %
at5, 6, 0.52 %
at6, 11, 0.95 %
at7, 27, 2.34 %
at8, 11, 0.95 %
at9, 26, 2.26 %
at10, 32, 2.78 %
at11, 26, 2.26 %
at12, 25, 2.17 %
at13, 2, 0.17 %
at14, 23, 2.00 %
at15, 37, 3.21 %
at16, 2, 0.17 %
at17, 50, 4.34 %
at18, 22, 1.91 %
at19, 78, 6.77 %
-------------------------------------- 
