data:4608 gap:2% 
at1 13.35 %
at2 15.19 %
at3 27.43 %
at4 20.29 %
at5 15.32 %
at6 14.08 %
at7 21.85 %
at8 15.06 %
at9 18.36 %
at10 16.04 %
at11 18.51 %
at12 17.14 %
at13 18.34 %
at14 12.80 %
at15 15.97 %
at16 11.22 %
at17 31.10 %
at18 18.71 %
at19 23.98 %
data:2304 gap:2% 
at1 6.86 %
at2 7.38 %
at3 12.76 %
at4 10.33 %
at5 7.66 %
at6 6.86 %
at7 10.46 %
at8 7.16 %
at9 9.79 %
at10 8.53 %
at11 9.35 %
at12 8.51 %
at13 9.44 %
at14 6.14 %
at15 7.51 %
at16 5.51 %
at17 15.36 %
at18 9.11 %
at19 11.68 %
data:1152 gap:2% 
at1 4.75 %
at2 5.10 %
at3 7.49 %
at4 6.55 %
at5 5.49 %
at6 4.58 %
at7 6.81 %
at8 4.80 %
at9 6.25 %
at10 5.56 %
at11 6.01 %
at12 5.86 %
at13 5.40 %
at14 4.01 %
at15 5.23 %
at16 3.99 %
at17 9.59 %
at18 5.84 %
at19 7.57 %
-------------------------------------- 
data:4608 gap:4% 
at1 13.35 %
at2 15.19 %
at3 27.43 %
at4 20.29 %
at5 15.32 %
at6 14.08 %
at7 21.85 %
at8 15.06 %
at9 18.36 %
at10 16.04 %
at11 18.51 %
at12 17.14 %
at13 18.34 %
at14 12.80 %
at15 15.97 %
at16 11.22 %
at17 31.10 %
at18 18.71 %
at19 23.98 %
data:2304 gap:4% 
at1 6.86 %
at2 7.38 %
at3 12.76 %
at4 10.33 %
at5 7.66 %
at6 6.86 %
at7 10.46 %
at8 7.16 %
at9 9.79 %
at10 8.53 %
at11 9.35 %
at12 8.51 %
at13 9.44 %
at14 6.14 %
at15 7.51 %
at16 5.51 %
at17 15.36 %
at18 9.11 %
at19 11.68 %
data:1152 gap:4% 
at1 4.75 %
at2 5.10 %
at3 7.49 %
at4 6.55 %
at5 5.49 %
at6 4.58 %
at7 6.81 %
at8 4.80 %
at9 6.25 %
at10 5.56 %
at11 6.01 %
at12 5.86 %
at13 5.40 %
at14 4.01 %
at15 5.23 %
at16 3.99 %
at17 9.59 %
at18 5.84 %
at19 7.57 %
-------------------------------------- 
data:4608 gap:6% 
at1 13.35 %
at2 15.19 %
at3 27.43 %
at4 20.29 %
at5 15.32 %
at6 14.08 %
at7 21.85 %
at8 15.06 %
at9 18.36 %
at10 16.04 %
at11 18.51 %
at12 17.14 %
at13 18.34 %
at14 12.80 %
at15 15.97 %
at16 11.22 %
at17 31.10 %
at18 18.71 %
at19 23.98 %
data:2304 gap:6% 
at1 6.86 %
at2 7.38 %
at3 12.76 %
at4 10.33 %
at5 7.66 %
at6 6.86 %
at7 10.46 %
at8 7.16 %
at9 9.79 %
at10 8.53 %
at11 9.35 %
at12 8.51 %
at13 9.44 %
at14 6.14 %
at15 7.51 %
at16 5.51 %
at17 15.36 %
at18 9.11 %
at19 11.68 %
data:1152 gap:6% 
at1 4.75 %
at2 5.10 %
at3 7.49 %
at4 6.55 %
at5 5.49 %
at6 4.58 %
at7 6.81 %
at8 4.80 %
at9 6.25 %
at10 5.56 %
at11 6.01 %
at12 5.86 %
at13 5.40 %
at14 4.01 %
at15 5.23 %
at16 3.99 %
at17 9.59 %
at18 5.84 %
at19 7.57 %
-------------------------------------- 
